objectid,filename,youtubeid,vimeoid,title,creator,contributor,publisher,date,description,pagenumber,subject,notes,location,latitude,longitude,source,identifier,type,format,language,rights,rightsstatement
d11,hh11.pdf,,,The Black Wheel V.2 N.4,The Office of Afro-American Affairs,,The Office of Afro-American Affairs,1970-05-22,"The Black Wheel was an organ created for the dissemination of Black news, thoughts, discussion, and are at Indiana University. It was created because the publishers didn’t think that there had been a factual way of reporting happenings across campus until the publication of the Black Wheel",8 p.,black student publications,Spotlight: Laurence Emanuel Prescott (Larry),Indiana University,,,Lilly Library of Indiana University,,text,application/pdf,eng,public domain,
d12,hh12.jpg,,,Older Dr. Herman C. Hudson,Indiana University Archives,,,1999,An image of a older Dr. Hudson,,herman hudson,The origin of this image is unknown,,,,Indiana University Archives,,Image;StillImage,image/jpeg,eng,Permission to use is granted but the interview cannot be reproduced in full onlline or in publications,"Digital reproductions of archival materials from the Indiana University Archives are made available for noncommercial educational and research purposes only. The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records or materials for which we do not hold a Deed of Gift. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these images that extends beyond fair use or other statutory limitations. Furthermore, responsibility for the determination of the copyright status and securing permission rests with those persons wishing to reuse the materials. If you are the copyright holder for any of the digitized materials and have questions about its inclusion on our site, please contact the Indiana University Archivist."
d13,https://storymaps.arcgis.com/stories/4ab56c52aa4f47e0b2cfd8669b36d8eb,,,"Herman Hudson
A Visual-Biographical Journey of his Arrival to Indiana University Bloomington",,Institute of Digital Arts and Humanities,ArcGisStorymaps,2023,A Story Map that provides a biographical treatment of Dr. Herman C. Hudson and chronicles his ultimate arrival at Indiana University in 1968.,,herman hudson,,Indiana University,,,born digital,,,record,eng,no copyright,
d14,hh14.pdf,,,Proposed Neal-Marshall Black Culture Center,Sonja Johnson; Leslie Simpson; Herman Hudson,,,1981-03,"This is the proposal for the Neal-Marshall Black Culture Center. It includes arguments for why the new Center is needed, description of the project, the mission and objectives of teh Black Culture Center, Performance's place in the new Culture Center in the form of the IU. Soul Revue, The African American Dance Company, and the African American Choral Ensemble.  Also, this is not the full proposal, the original is housed at the IU Archives there is also a copy at the Neal-Marshall Black Culture Center Archive. The complete document is 101 pages",19 p.,a proposal,"Discusses its connection to the deparment of African American Studies at IU and outlines how the Culture Center originally planned to house space for the National Council for Black Studies Offices. Also, this is not the full proposal, the original is housed at the IU Archives there is also a copy at the Neal-Marshall Black Culture Center Archive. The complete document is 101 pages.",,,,Indiana University Archives,,text,application/pdf,eng,permission to use is granted but the interview cannot be reproduced in full onlline or in publications,"Digital reproductions of archival materials from the Indiana University Archives are made available for noncommercial educational and research purposes only. The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records or materials for which we do not hold a Deed of Gift. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these images that extends beyond fair use or other statutory limitations. Furthermore, responsibility for the determination of the copyright status and securing permission rests with those persons wishing to reuse the materials. If you are the copyright holder for any of the digitized materials and have questions about its inclusion on our site, please contact the Indiana University Archivist."
d15,hh15.jpg,,,Orignal Schematic of the Neal Marshall Black Culture Center/Lee Norvelle Theatre and Drama Center building,,,,1998,A color projected image of the coming Neal Marshall Black Culture Center/Lee Norvelle Theatre and Drama Center building,,an artistic readering,,Indiana University,,,Neal-Marshall Black Culture Center Archives ,,Image;StillImage,image/jpeg,eng,no copyright,
d16,hh16.pdf,,,Indiana University Center for The Study of History and Memory: Herman Hudson,ndiana University Center for The Study of History and Memory,Elisabeth Marsh; Herman Hudson,,2001-04-10,"An interview with Herman Hudson conduced by Elizabeth Marsh for the Oral History Research Center. In this interview Hudson details his upbringing, the various higher educational instutiutions he taught at, how he was selected to be the founding Vice Chancellor for Afro-American Affairs and Chair fo the then deparment of Afro-American Studies deparment, the various diversity initatives he began at IU among other things",21 p.,interview with herman hudson,,Indiana University,,,Center for Documentary Research and Practice,"CSHM Acession #96-41-1,2",text,application/pdf,eng,Permission to use is granted but the interview cannot be reproduced in full onlline or in publications,"Short qutations from the transcript may be used, providing the attached deed of gift does not restrict it, and the interviewee, interviewer, and the Oral History Research Center are given proper credit. For any photocopy, or for extensive use of the transcript in any publication, permission must be obtained from the Oral History Research Center. Duplicate copies can be made only through the Center, either by writing the office at Ashton-Aley West, Room 264, Bloomington, Indiana, 47405, or by calling 812-855-2856."
d17,hh17.pdf,,,The Black Student Voice V.1 N.1,The Office of Afro-American Affairs,"Clarence ""Rollo"" Turner",Office of Afro-American Affairs,1968-04-02,"""The Black Student Voice [was] a weekly publication of the Office of Afro-American Affairs. The office of Afro-American Affairs [was] an ad hoc organization of Black students who [were] dedicated to securing a place of honor and dignity for Black people as human beings."" Headlines include ""IU Trustees’ Statement Meaningless"", ""Chairman Makes a Racist Statement"", ""Athletic Department Challenged"", among others. ",5 p.,black student publications,,Indiana University,,,Lilly Library of Indiana University,,text,application/pdf,eng,public domain,
d18,hh18.pdf,,,The Black Student Voice V.1 N.2,The Office of Afro-American Affairs,"Clarence ""Rollo"" Turner",Office of Afro-American Affairs,1968-07-08,"""The Black Student Voice [was] a weekly publication of the Office of Afro-American Affairs. The office of Afro-American Affairs [was] an ad hoc organization of Black students who [were] dedicated to securing a place of honor and dignity for Black people as human beings."" There is a column dedicated to telling President Elvis J. Stahr farewell.",5 p.,black student publications,,Indiana University,,,Lilly Library of Indiana University,E 185.61 A258,text,application/pdf,eng,public domain,
d19,hh19.pdf,,,The Black Student Voice V.1 N.3,The Office of Afro-American Affairs,"Clarence ""Rollo"" Turner",Office of Afro-American Affairs,1968-07-15,"""The Black Student Voice [was] a weekly publication of the Office of Afro-American Affairs. The office of Afro-American Affairs [was] an ad hoc organization of Black students who [were] dedicated to securing a place of honor and dignity for Black people as human beings.""",6 p.,black student publications,,Indiana University,,,Lilly Library of Indiana University,,text,application/pdf,eng,public domain,
d20,hh20.pdf,,,The Black Student Voice V.1 N.4,The Office of Afro-American Affairs,"Clarence ""Rollo"" Turner",Office of Afro-American Affairs,1968-07-29,"""The Black Student Voice [was] a weekly publication of the Office of Afro-American Affairs. The office of Afro-American Affairs [was] an ad hoc organization of Black students who [were] dedicated to securing a place of honor and dignity for Black people as human beings.""""",4 p.,black student publications,,Indiana University,,,Lilly Library of Indiana University,,text,application/pdf,eng,public domain,
d21,hh21.jpg,,,Indiana University Arts Complex,The Office of Afro-American Affairs,Herman Hudsonn,,1997,A model of the coming Neal-Marshall Black Culture Center Building. This image was part of a larger pamplet concerning the Center mentioned,1 p.,Pamplet,,Indiana University,,,Neal-Marshall Black Culture Center Archive,,,,,,
d22,hh22.pdf,,,History of Afro-American Studies Department Based on a Interview with Dr. Herman [C] Hudosn,,Herman Hudsonn,,1988/07,"This is a transcribed interview where Herman Hudson is the  interviewee,  and the Interviewer is unknown. Here Hudson answers questions like ""What led to the Creation of the Deparment of Afro-American Studies;"" "" how long did it take for the faculty to accept the document known as ""Facultty Circular #55."" That document is the offfical write up of the demands of the Black Studies student activist presented to the University. It also makes plain  what larger societal issues further radicalized the Black students at IU. It also discusses who were the first faculty members of the department.",18 p.,interview with herman hudson,,Indiana University,,,Indiana University Archvies,,text,application/pdf,eng,permission to use.,"Digital reproductions of archival materials from the Indiana University Archives are made available for noncommercial educational and research purposes only. The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records or materials for which we do not hold a Deed of Gift. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these images that extends beyond fair use or other statutory limitations. Furthermore, responsibility for the determination of the copyright status and securing permission rests with those persons wishing to reuse the materials. If you are the copyright holder for any of the digitized materials and have questions about its inclusion on our site, please contact the Indiana University Archivist."
d23,hh23.pdf,,,The Black Studies Program: Strategy and Structure,Herman Hudson,,The Journal of Negro Education V.41,1972,"The document details what is considered by Hudson the ""college student revolution"" of the 1960s and how that movement made it impossible for the nation to continue to ignore the brutalizing effects of injustice, racism, and war. On top of of the demands made by students during this student revolution, Black studies programs were forwarded as a way to cure some of the ills that plagued the nation. Here Hudson also details why departmental status was the most viable form that a Black Studies initiative could take for institutional legitimacy and staying power.",5 p.,journal article,,Indiana University,,,Indiana University Archvies,,Image;StillImage,image/jpedg,eng,permission to use.,"Digital reproductions of archival materials from the Indiana University Archives are made available for noncommercial educational and research purposes only. The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records or materials for which we do not hold a Deed of Gift. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these images that extends beyond fair use or other statutory limitations. Furthermore, responsibility for the determination of the copyright status and securing permission rests with those persons wishing to reuse the materials. If you are the copyright holder for any of the digitized materials and have questions about its inclusion on our site, please contact the Indiana University Archivist."
d24,hh24.jpg,,,Black Students Group Aims for Communication,Indiana Daily Student,"David, Ashenfelter",Indiana Daily Student,1968-03-29,"A newspaper article on the origin of the Afro, Afro-American Student's Association (AAASA).  Here Robert Johnson, president of AAASA) describes the threefold aims of the AAASA: first, the improvement of communications between Black Students, secondly, a greater sense of unity between Black students. Thirdly, they prompted greater Black student participation in campus affairs. It is also noted here, that the AAASA was an artistic, education, political, and social organization.",1 p.,newspaper article,,Indiana University,,,"Government Information, Maps and Microform Services",,Image;StillImage,image/jpeg,eng,public domain,
d25,hh25.jpg,,,AAASA President Discusses Negro Objectives,Indiana Daily Student,"David, Ashenfelter",Indiana Daily Student,1968-03-30,"A newspaper article discusses AAASA objectives. Here the AAAASA, through its president, Robert Johnson makes it known that they are not interested in integrating Sigma Chi Instead they mention that they were interested in seeing the formal discriminatory practices that have financial support of the state of Indiana overturned.",1p.,newspaper article,,Indiana University,,,"Government Information, Maps and Microform Services",,Image;StillImage,image/jpeg,eng,public domain,
d26,hh26.jpg,,,15 Years in the Making: Neal-Marshall Center Opening Events to take Place,Indiana Daily Student,Amy Orringer,Indiana Daily Student,2002,A newspaper article describing the formal dedication ceremony that began at 2pm at the center's Ruth N. Halls Theatre. Osside Davis and Ruby Dee were the keynote speakers. ,1 p.,newspaper article,,Indiana University,,,Neal-Marshall Black Culture Center Archive,,Image;StillImage,image/jpeg,eng,no copyright,
d27,hh27.jpg,,,Hudson and Mask,Indiana Daily Student,,Indiana Daily Student,1981,Newspaper clipping depicting an image of Herman Hudson with a African mask of unknown origin behind him,,a newspaper clipping,,Indiana University,,,Neal-Marshall Black Culture Center Archive,,Image;StillImage,image/jpeg,,no copyright,
d28,hh28.jpg,,,Bob Johson relected President of AAASA,Indiana Daily Student,,Indiana Daily Student,1968-05-07,Newspaper article,1 p.,newspaper article,,Indiana University,,,"Government Information, Maps and Microform Services",,Image;StillImage,image/jpeg,eng,public domain,
d29,hh29.jpg,,,Neal-Marshall Bldg. Dedication,Randy Johnson,,,1998-10-16,"Photograph containing various personages, including Herman Hudson participating in the Neal-Marshall Building dedication",,neal-marshall black culture Center,,Indiana University,,,Neal-Marshall Black Culture Center Archive,,Image;StillImage,image/jpeg,eng,no copyright,
d30,hh30.jpg,,,Neal-Marshall Bldg. Dedication,Randy Johnson,,,1998-10-16,"Photograph containing various personages, including Herman Hudson participating in the Neal-Marshall Building dedication with shovels in the earth",,neal-marshall black culture Cente,,Indiana University,,,Neal-Marshall Black Cultue Center Archive,,Image;StillImage,image/jpeg,,no copyright,
d31,hh31.jpg,,,Black Culture Center Library,,,,1981,The Library at the Black Culture Center on Jordan Avenue (now Eagleson),,neal-marshall black culture Cente,,Indiana University,,,Neal-Marshall Black Culture Center Archive,,Image;StillImage,image/jpeg,eng,no copyright,
d32,hh32.jpg,,,The Black Culture Center's Entrance,,,,1980,The Black Culture Center on Jordan Avenue,,neal-marshall black culture Cente,the second iteration of the Black Culture Center.,Indiana University,,,Neal-Marshall Black Cultue Center Archive,,Image;StillImage,image/jpeg,eng,no copyright,
d33,hh33.jpg,,,Rap sessions in the Black Culture Center,,,,1981,A group of students who seem to be engaging in a discussion with an instructor in the living room of the Black Culture Center,,neal-marshall black culture Cente,,Indiana University,,,Neal-Marshall Black Cultue Center Archive,,Image;StillImage,image/jpeg,,no copyright,
d34,hh34.jpg,,,Inside the Living Room of the Black Culture Center,,,,1982,Interior of the Black Culture Center with figures conversing,,neal-marshall black culture Cente,,Indiana University,,,Neal-Marshall Black Culture Center Archives ,,Image;StillImage,image/jpeg,,no copyright,
d35,hh35.pdf,,,History of the Black Culture Center,,,,1983,A informational describing the history of the Black Culture Center and why it is important for Black students,2. p,neal-marshall black culture Cente,,Indiana University,,,Neal-Marshall Black Culture Center Archive,,text,application/pdf,eng,no copyright,
d36,https://iu.mediaspace.kaltura.com/media/t/1_c47gr4hr,,,Black Table Talk - First Ladies of the African American Arts Institute,"Group Office of the Vice President for Diversity, Equity, and Multicultural Affairs",,,2021,,,the african american arts institute,,Indiana University,,,,,,record,eng,no copyright,
d37,hh37.jpg,,,Turner at Little 500 Sit in,Arbutus,,Artubus,1968,"Photograph depicting Clarence ""Rollo"" Turner and other black students speaking to the press during the 1968 Little 500 Sit-in. Few photographs of the event have survived.",,rollo turner,photo was taken by Artubus,Indiana University,,,Indiana University Archivves,,Image;StillImage,image/jpeg,eng,permission to use,"Digital reproductions of archival materials from the Indiana University Archives are made available for noncommercial educational and research purposes only. The Indiana University Archives respects the intellectual property rights of others and does not claim any copyrights for non-university records or materials for which we do not hold a Deed of Gift. Researchers are responsible for securing permission from copyright owners and any other rights holders for any reuse of these images that extends beyond fair use or other statutory limitations. Furthermore, responsibility for the determination of the copyright status and securing permission rests with those persons wishing to reuse the materials. If you are the copyright holder for any of the digitized materials and have questions about its inclusion on our site, please contact the Indiana University Archivist."
